DataType,Algorithm,Size,Time
Random,Merge,50000000,11.680000
Random,Quick,50000000,5.241100
Random,Radix,50000000,3.363600
Random,Heap,50000000,22.495200
Reverse,Merge,50000000,8.535300
Reverse,Quick,50000000,2.363000
Reverse,Radix,50000000,5.338600
Reverse,Heap,50000000,10.499000
Sorted,Merge,50000000,8.553400
Sorted,Quick,50000000,2.350000
Sorted,Radix,50000000,5.348800
Sorted,Heap,50000000,10.624500
Almost Sorted,Merge,50000000,8.565500
Almost Sorted,Quick,50000000,2.352000
Almost Sorted,Radix,50000000,5.351400
Almost Sorted,Heap,50000000,10.634400
Random,Merge,100000000,23.761300
Random,Quick,100000000,10.629800
Random,Radix,100000000,6.764900
Random,Heap,100000000,50.619200
Reverse,Merge,100000000,17.507000
Reverse,Quick,100000000,4.881600
Reverse,Radix,100000000,10.725500
Reverse,Heap,100000000,21.903400
Sorted,Merge,100000000,17.578000
Sorted,Quick,100000000,4.858300
Sorted,Radix,100000000,10.663700
Sorted,Heap,100000000,21.923100
Almost Sorted,Merge,100000000,17.614100
Almost Sorted,Quick,100000000,4.878200
Almost Sorted,Radix,100000000,10.661500
Almost Sorted,Heap,100000000,21.895600
